金阁寺,作者:(日)三岛由纪夫
外科学（七版/本科临床/十一五规划/配光盘）,作者:吴在德　等主编
医学影像学,作者:金征宇 主编
奔马,作者:(日) 三岛由纪夫
儿科学（二版/八年制/配光盘）,作者:薛辛东　主编
医学遗传学(第2版),作者:陈竺　主编
组织学与胚胎学实验,作者:李继承  主编
肝胆肿瘤,作者:（美）布卢姆加特　著，赵平　等译
黄家驷外科学 (第7版),作者:吴孟超，吴在德　主编
穆斯林的葬礼,作者:霍达
人体解剖彩色图谱,作者:郭光文 等主编
药理学,作者:杨世杰　主编
社会医学(第3版),作者:李鲁　主编
中国地图集,作者:中国地图出版社
神经生物学(第2版),作者:寿天德 主编
医学微生物学,作者:李凡 等主编
外科手术基本操作,作者:陈孝平
人体寄生虫学（七版/本科临床/十一五规划/配光盘）,作者:李雍龙　主编
平原枪声,作者:李晓明 韩安庆
流行病学（七版/本科临床/十一五规划）,作者:王建华 主编
海灯法师,作者:刘孟洪
小城春秋,作者:高云览
医学心理学（五版/本科临床十一五规划/配光盘）,作者:姚树桥　等主编
核医学（七版/本科临床/十一五规划/配光盘）,作者:李少林，王荣福　主编
中国古代名句辞典,作者:
      
系统解剖学,作者:柏树令　主编
Organic Chemistry,作者:T. W. Graham Solomons Craig B. Fryhle
古都,作者:[日] 川端康成
心理学与生活,作者:（美）理查德（richard j.g） 等著
李自成,作者:姚雪垠
天人五衰,作者:三岛由纪夫
春雪,作者:三岛由纪夫
现代汉语词典,作者:中国社会科学院语言研究所词典编辑室
一句顶一万句,作者:刘震云 著
雪国,作者:[日] 川端康成
中学生字帖,作者:本社
褚遂良孟法师碑,作者:本社 编
颜真卿书清远道士诗,作者:(唐)颜真卿
王阳明全集,作者:吴光 等编
草书速成百字通,作者:
颜真卿《颜勤礼碑》,作者:杨为国
元明清名城杭州,作者:周峰主编
吴越首府杭州,作者:周峰主编
告身帖,作者:
南宋京城杭州,作者:周峰主编
二月逆流,作者:赵峻防等
隋唐名郡杭州--杭州历史丛编(二),作者:周峰
一分钟小说选,作者:(日)星新一等
重订六书通,作者:清  畢既明篆訂
颜真卿书郭虚己墓志,作者:（唐）颜真卿 著
20世纪杰出书法家,作者:
      
20世纪中国杰出书法家：陆维钊精选字帖,作者:陆维钊
王蘧常书法艺术解析,作者:王蘧常
说岳全传,作者:钱彩
隋龙藏寺碑,作者:啸沧 编
王福庵书说文部目,作者:王福庵 书
颜真卿颜氏家庙碑,作者:方传鑫
赵松雪六体千字文 (平装),作者:赵松雪
20世纪杰出书法家--沈尹默书法艺,作者:沈培方
20世纪杰出书法家,作者:庄希祖著
贺知章草书孝经,作者:刘小晴 庄新兴
张瑞图草书后赤壁赋,作者:上海书画出版社
颜真卿楷书放生池碑解析字帖,作者:张文栋
20世纪杰出书法家,作者:
      
汉曹全碑-中国历代碑帖集粹,作者:秀琳 主编
黄宾虹书法艺术解析,作者:
黄道周山中杂咏,作者:上海书画出版社 编
李邕李思训碑,作者:方传鑫
柳公权玄秘塔碑,作者:枕石
米芾蜀素帖,作者:
黄庭坚松风阁,作者:刘小晴 庄新兴
米芾尺牍九种,作者:本社 编
李邕法华寺碑,作者:上海书画出版社  编
赵孟頫光福重建塔记,作者:刘小晴 庄新兴
吴琚墨迹选,作者:刘小晴 庄新兴
赵孟頫真草千字文,作者:上海书画出版社 编
大学化学基础实验,作者:郭伟强主编
月亮与六便士,作者:（英）毛姆 著，傅惟慈 译
有机化学（上册）,作者:胡宏纹
语言研究,作者:（美）尤尔　著
怀素小草千字文墨迹,作者:本社 编
c程序设计语言(英文版.第2版）,作者:（美）克尼汉 等著
赵孟頫妙严寺记,作者:刘小晴 庄新兴
分析化学(第5版),作者:华东理工大学化学系，四川大学化工学院 编
Physics,作者:David Halliday, Kenneth S. Krane Robert Resnick
新概念英语（3）,作者:何其莘
分析化学,作者:武汉大学
新概念英语教师用书(2),作者: 
新概念英语自学导读4,作者:孙玉荣，杜建 编著
朗文・外研社新概念英语(新版)(3)教师用书,作者:（英）亚历山大 等编著
新概念英语练习册2,作者:（英）亚历山大（alexander，l.g.）　等合作编著
新概念英语（1）,作者:（英）亚历山大，何其莘　著
经济学原理（上下,作者:[美] 曼昆
数码摄影技术,作者:(美)詹尼﹒比德纳著
新概念英语（4）,作者:（英）亚历山大（Alexander,L.G.) 何其莘 (著) 何其莘(译)
新概念英语（2）,作者:（英）亚历山大
大学数学,作者:林翠琴
新概念英语教师用书,作者: 
有机化学(下) (平装),作者:胡宏纹
大学语文,作者:张梦新 编
电化学原理(修订版),作者:李荻
英语国家社会与文化入门(上)(第二版),作者:朱永涛、王立礼 Ann Aungles John Hill Jerusha McCormack
高级英语(下册),作者:巫漪云，黄关福 主编
大学计算机基础教程,作者:陆汉权
英语国家社会与文化入门(下册)第二版,作者:朱永涛、王立礼
生命科学导论,作者:张惟杰 编
大学计算机基础教程学习与实验指导,作者:冯晓霞 方红光
C程序设计（第三版）,作者:谭浩强 著
c++程序设计——高等院校计算机基础教育规划教材,作者:徐士良 　主编
物理化学习题精解(下) (平装),作者:王文清
BASIC语言,作者:田淑清 谭浩强
数学分析习题解析,作者:任亲谋
地球科学概论,作者:杨树锋
数学分析（第三版）（上册）,作者:华东师范大学数学系　编
C语言程序设计/世纪精品计算机等级考试书系,作者:本书编委会 何钦铭 编 颜晖 编
現代西班牙語 第一冊 (附光碟),作者:董燕生/ 劉建
新视角新闻英语视听说教程-(下),作者:石坚
电磁学,作者:张玉民 编
新视角。上：新闻英语视听说教程,作者:权立宏 主编
力学,作者:程稼夫
大学数学,作者:李海中
线性代数(第4版)(改编版),作者:（美）弗里德伯格（friedberg，s.h.） 等原著，王殿军 改编
数学分析习题精解,作者:吴良森 吴良森 编 毛羽辉 宋国栋
新概念英语练习详解2,作者:王雅华
世界名诗导读,作者:吴笛 编著
常微分方程,作者:蔡燧林  编
高级英语(第1册) 修订本,作者:张汉熙 主编，王立礼 编
原子物理学,作者:陈宏芬编
电路原理——普通高等教育十五国家级规划教材,作者:范承志 等编
新概念英语自学导读1,作者:梁燕 编著
光学,作者:吴强
文明的历程,作者:沈坚 著
翻譯學導論: 理論與實踐Introducing Translation Studies: Theories and Applications,作者:李德鳳
世界经济概论,作者:池元吉
概率论与数理统计(浙大第3版),作者:盛骤　等编
热学,作者:秦允豪
数学分析（第三版）（下册）,作者:华东师范大学数学系
新概念英语2自学导读,作者:王岚 编著
大学物理实验,作者:张训生 编
高级英语(修订本.第2册),作者:张汉熙 主编，王立礼 编
中级化学实验,作者:雷群芳
新编普通化学,作者:徐端钧, 陈恒武, 李浩然编著
新概念英语自学导读3,作者:孙玉荣，杜建 编著
物理化学习题精解(上)/大学基础课化学类习题精解丛书,作者:王文清
环境科学与人类文明,作者:刘维屏，刘广深  主编
生物化学. 下册,作者:王镜岩　等主编
结构化学基础,作者:周公度，段连云　编著
