牧羊少年奇幻之旅,作者:[巴西] 保罗·科埃略 (著) 孙成敖(译)
苏菲的世界,作者:（挪威）乔斯坦·贾德 (著) 萧宝森(译)
顾准文集（增订珍藏版）,作者:顾准　著，陈敏之，罗银胜　编
小毛驴与我,作者:[西]希梅内斯 著；林为正 译
世界上最伟大的推销员,作者:奥格・曼狄诺
奇特的一生,作者:(苏)格拉宁 (著) 唐其慈(译)
24堂财富课,作者:陈志武　著
非理性亢奋,作者:陈志武　著
浪潮之巅,作者:吴军
无价,作者:（美）威廉•庞德斯通 著，闾佳　译
顾准日记,作者:顾准
第五项修炼,作者:[美] 彼得·圣吉
沉思录,作者:[古罗马] 马可·奥勒留·安东尼
野蠻生長: 一部民營企業的心靈史 一位商界哲人的人生感悟,作者:馮侖
微信营销解密,作者:李国建
精益创业,作者:[美] 埃里克·莱斯
创客,作者:克里斯·安德森
SEARCHING FOR MEMORY,作者:SCHACTER, DANIEL L.
HOW WE KNOW WHAT ISN'T SO,作者:GILOVICH, THOMAS
经济增长的代价,作者:（英）E.J.米香（E.J.Mishan） (著) 任保平、梁炜等(译)
全球化及其不满,作者:约瑟夫 E.斯蒂格利茨 (著) 章添香(译)
无从选择,作者:（美）施瓦茨 著，凌伟文 译
改變是大腦的天性The Brain That Changes Itself,作者:洪蘭
生活中的经济学,作者:加里・贝克 吉蒂・贝克 (著) 薛迪安(译)
舌尖上的世界,作者:(巴西)马科斯·费华·内维斯著
20世纪最伟大的心理学实验,作者:（美）斯莱特　著，郑雅方　译
中国少了一味药,作者:慕容雪村 著
三体,作者:刘慈欣
改变心理学的40项研究(第5版),作者:罗杰·霍克 著，白学军　等译
怎樣解題,作者:G‧波利亞
动机心理学,作者:（美）皮特里 著，郭本禹 等译
数学的发现,作者:（美）乔治·波利亚 著，刘景麟 等译
数学确定性的丧失,作者:（美）克莱因 著，李宏魁 译
费马大定理：一个困惑了世间智者358年的谜——世界人文系列丛书,作者:（英）辛格（singh，s.） 著，薛密 译
时寒冰说,作者:时菱蔓 绘
怎样解题,作者:G·波利亚
可口可乐的征服,作者:[美]大卫·比斯利
COM本质论,作者:[美] Don Box (著) 潘爱民(译)
解题·成长·快乐——陶哲轩教你学数学,作者:（澳）陶哲轩　著，（加）于青林　译
走出软件作坊,作者:阿朱 著
下一个倒下的会不会是华为,作者:
一键下单,作者:理查德·勃兰特
商业模式新生代,作者:伊夫•皮尼厄 (Yves Pigneur)
清单革命,作者:[美] 阿图•葛文德（Atul Gawande）
爆发,作者:[美] 艾伯特-拉斯洛·巴拉巴西
持续创新的七条法则,作者:托尼·达维拉
打开餐巾纸,作者:丹•罗姆 (Dan Roam)
恢复力,作者:[美] 安德鲁•佐利  安•玛丽•赫利
如何求解问题,作者:David B.Fogel
未来十年,作者:祁斌 编
和谐经济论,作者:弗雷得力克‧巴斯夏
打开餐巾纸,作者:（美）丹•罗姆　著，颜筝　译
习惯的力量,作者:[美] 查尔斯·杜希格 (Charles Duhigg)
经济学诡辩,作者:（法）巴斯夏 著，麻勇爱 等译
和谐经济论（下）,作者:（法）巴斯夏　著，章爱民　译
移动浪潮,作者:迈克尔·塞勒
自由市场的坠落,作者:（美）斯蒂格利茨　著，李俊青，杨玲玲　等译
和谐经济论（上）,作者:（法）巴斯夏　著，章爱民　译
暗时间,作者:刘未鹏
自由选择,作者:（美）弗里德曼，弗里德曼　著，张琦　译
商业模式新生代, 个人篇,作者:（比利时）伊夫·皮尼厄
助推,作者:（美）理查德•h•泰勒 卡斯•h•桑斯坦　著，刘宁　
增长的极限,作者:（美）梅多斯（meadows，d.）等著，李涛，王智勇 译
小强升职记,作者:邹鑫　著
与众不同,作者:（美）特劳特，（美）里夫金 著，火华强 译
编程之美,作者:《编程之美》小组　著
把时间当作朋友,作者:李笑来　著
撬动幸福,作者:奚恺元　等著
The Tell-Tale Brain,作者:V. S. Ramachandran
黑天鹅,作者:（美）塔勒布　著，万丹　译
Making up the Mind,作者:Chris Frith
The Vision Revolution,作者:Mark Changizi
常识,作者:[美] 托马斯·潘恩 (著) 田素雷(译)
Gut Feelings半秒直覺: 不多想的力量: 少想一點, 可能知道更多,作者:GIGERENZER, GERD捷爾德．蓋格瑞澤
尋找腦中幻影,作者:朱迺欣
Kluge,作者:Gary Marcus
Bounded Rationality,作者:Gigerenzer, Gerd (EDT)/ Selten, Reinhard (EDT)
Probability Theory,作者:E. T. Jaynes
SYNAPTIC SELF,作者:LEDOUX, JOSEPH
社会性动物,作者:埃利奥特.阿伦森 (著) 郑日昌(译)
找寻逝去的自我,作者:（美）夏克特　著，高申春　译
Nudge,作者:Richard H. Thaler Cass R. Sunstein
学会提问,作者:尼尔 布朗 (Neil Browne) (作者), 斯图尔特 基利 (Stuart Keeley)
决断2秒间,作者:（美）马尔科姆·格拉德韦尔 著，鲁刚伟 等译
錯不在我?Mistakes Were Made (But not By Me)Why We Justify Foolish Beliefs, Bad Decision, and Hurtful Act,作者:潘敏
摇摆,作者:（美）奥瑞·布莱福曼，罗姆·布莱福曼 著，鲁刚伟，何伟 译
本能,作者:（美）伯纳姆　等著，李存娜　译
决策与判断,作者:（美）斯科特·普劳斯（scott plous） 著，施俊琦，王星 译
How We Decide大腦決策手冊: 該用腦袋的哪個部分做決策?,作者:Lehrer, Jonah雷勒
让创意更有黏性,作者:（美）希思 等著，雷静 译
這才是心理學!How to Think Straight about Psychology (9 Ed.),作者:楊中芳
滚雪球,作者:（美）施罗德 著，覃扬眉 等译
影响力,作者:（英）兰伯特（lambert，t.e.） 著，李政 译
像外行一样思考，像专家一样实践——科研成功之道,作者:（日）金出武雄 著，马金成，王国强 译
数学领域中的发明心理学,作者:（法）阿达玛 著，陈植荫，肖奚安 译
高效能人士的七个习惯,作者:[美] 史蒂芬·柯维 (著) 葛雪蕾(译)
我是一只IT小小鸟,作者:胡江堂 主编
The Psychology of Problem Solving,作者:Davidson, Janet E./ Sternberg, Robert J.
人性的弱点,作者:（美）卡耐基（carnegie，d）　著；李晨曦　译
人性的优点,作者:（美）卡耐基（carnegie，d.）　著，牛振华　译
数学与猜想（第一卷）,作者:（美）波利亚（polya，g.） 著，李心灿，王月爽，李志尧 译
合作的进化,作者:（美）阿克塞尔罗德　著，吴坚忠　译
奇特的一生,作者:[苏] 格拉宁
数学与猜想（第二卷）,作者:（美）波利亚　著，李志尧，王日爽，李心灿　译
别做正常的傻瓜,作者:奚恺元 著
你的灯亮着吗?,作者:[美]唐纳德·高斯，杰拉尔德·温伯格 著；章柏幸 等译
从西潮到东风,作者:林毅夫
经济为什么会崩溃,作者:〔美〕彼得•D•希夫  安德鲁•J•希夫
专注力,作者:（美）兰格　著，徐佳　译
欲望之源,作者:[美]伯纳姆 等著，李存娜 译
金融与好的社会,作者:罗伯特·希勒
动物精神,作者:乔治·阿克洛夫
只剩一个角落的繁华,作者:陈文茜
创业的国度,作者:（美）塞诺，（以）辛格　著，王跃红，韩君宜　译
不诚实的诚实真相,作者:丹·艾瑞里
选择的艺术,作者:[美]席娜•艾扬格（sheena iyengar）　著，林雅婷　译
拆掉思维里的墙,作者:古典 著
习惯：习惯的力量,作者:（美）沃伦 著，王中合 编译
看电影读小说，你就能懂经济学,作者:亚利桑德拉 S布克曼
生活中的经济学 (平装),作者:茅于轼
资本是个好东西,作者:曹尔阶
繁荣的求索,作者:林毅夫
正营销,作者:
动物精神,作者:（美）阿克洛夫，希勒　著，黄志强　等译
第三次工业革命,作者:[美] 杰里米•里夫金(Jeremy Rifkin)
王二的经济学故事,作者:郭凯
思考，快与慢,作者:丹尼尔·卡尼曼
大预测,作者:阿文德·萨勃拉曼尼亚
一切皆有价,作者:美]爱德华多•波特 著，赵德亮 译
中国改革,作者:华生
博弈与社会,作者:张维迎
鱼价引爆经济学,作者:[英] 伊恩·哈里斯
时寒冰说—欧债真相警示中国,作者:时寒冰
牛刀说货币,作者:牛刀
跑路,作者:周德文
废都,作者:贾平凹
设计模式,作者:（美）伽玛（gamma，e.）　等著，李英军　等译
经济学思想史讲义,作者:汪丁丁
1分钟爱上管理学,作者:姚余梁
双螺旋,作者:（美）沃森（watson，j.d.） 著，吴家睿 评点
大数据时代,作者:[美] 维克托•迈尔•舍恩伯格（Viktor Mayer-Schönberger）著
这才是经济学,作者:（美）贝尔拉夫什 著，麻勇爱 译
